Clave de incidencia,Nombre del proyecto,Tipo de proyecto,Resumen,Descripción,Tipo de Incidencia,Principal,Parent summary,Story Points,Creada,Paso a Done
1160084,Tribu API Canales y transaccional producto,software,Generación de pruebas de regresión,"Dado los diferentes canales por donde se pueden generar transacciones (Canales externos) que registran transacciones en lÃ­nea
Cuando se generan pruebas de regresión
Entonces las pruebas deben asegurar que las transacciones se registren correctamente
    Y que las transacciones bajen de forma correcta en el proceso batch",Criterio de aceptación,1160083,TX Canales externos - Certificación de Vistas y Generación de Transacciones en Archivo Extract V2,,20/02/2025 12:09,27/02/2025 23:08
1159648,Capa de Integración V2,software,"Dado que se consuma alguna de las apis (GetBasicInfo customerv3) que envian reporteria. Cuando se valide el logs del componente"" y se genere error. Entonces se debe ver registros  en cloudwatch (ERROR)  y valdiar en grafana",,Criterio de aceptación,1148816,AWS - lambda report_subscriber_elasticsearch - Optimizar escritura logs,,20/02/2025 10:10,05/03/2025 12:48
1159645,Capa de Integración V2,software,"Dado que se consuma alguna de las apis (GetBasicInfo customerv3) que envian reporteria. Cuando se valide el logs del componente"" y responda exitoso. Entonces se debe ver registros  en cloudwatch y valdiar en grafana",,Criterio de aceptación,1148816,AWS - lambda report_subscriber_elasticsearch - Optimizar escritura logs,,20/02/2025 10:09,05/03/2025 12:48
1157484,Capa de Integración V2,software,Verificación actualización de plantillas - Notificación beneficiarios DISFON,"*Dado:* que se ingrese a Latinia.

*Cuando:* se actualice las plantillas Notificación beneficiarios DISFON

*Entonces:* se debe enviar los email a los beneficiarios de dispersiones de fondos enviadas por el proceso de pagos de nomina y proveedores para informar cuando el abono se ha realizado o cuando el abono se ha enviado a una entidad externa.",Criterio de aceptación,1157483,LATINIA - Actualización plantillas notificación beneficiarios DISFON,,18/02/2025 21:53,28/02/2025 15:50
1157483,Capa de Integración V2,software,LATINIA - Actualización plantillas notificación beneficiarios DISFON,"*Yo Como* Cliente empresarial

*Quiero* que se notifique a los beneficiarios de dispersiones de fondos enviadas por el proceso de pagos de nomina y proveedores

*Para* informar cuando el abono se ha realizado o cuando el abono se ha enviado a una entidad externa

Detalleas adicionales:

Insumos Correo: 

{color:#36b37e}*Información e Insumo de Solución:*{color}

Se actualiza en PD



Grupo:         SETIN
Nombre:      Fondos Externos
Referencia:   notificacion_externos
Archivo:        fondo-masivo_latinia Externo.html



Grupo:         SETIN
Nombre:      Fondos Internas
Referencia:   notificacion_internos
Archivo:       fondo-masivo_2_latinia Interno.html",Historia,1157482,Crecimiento - Actualización Plantillas notificaciones beneficiarios DISFON,3,18/02/2025 21:50,28/02/2025 15:52
1157479,Capa de Integración V2,software,Verificación actualización de plantillas - Actualización proceso pagos,"*Dado:* que se ingrese a Latinia.

*Cuando:* se actualice las plantillas Actualización proceso pagos

*Entonces:* se debe enviar los email informarndo y guiar al delegado de la empresa para la notificación de la Actualización proceso pagos.",Criterio de aceptación,1157478,LATINIA - Actualización plantilla Actualización proceso pagos,,18/02/2025 21:40,04/03/2025 13:48
1157478,Capa de Integración V2,software,LATINIA - Actualización plantilla Actualización proceso pagos,"*Yo Como* Cliente empresarial

*Quiero* que me envÃ­en un correo a mi usuario delegado (plantilla Actualización proceso pagos)

*Para* conocer el estado de la validación del archivo en el proceso de pagos.

Detalles adicionales: Historia con la que se cargó la primer versión [[MANG-15613] LATINIA - Cargue plantilla Actualización proceso pagos - JIRA|https://bancodebogota.atlassian.net/browse/MANG-15613]

Insumos Correo: 

{color:#36b37e}*Información e Insumo de Solución:*{color}

*Se carga en ambiente QA*

Grupo:                               Contingencia Pagos
Nombre:                            Actualizacion proceso pagos
Referencia:		          proceso_pagos
Nombre de archivo:          contingencia pagos PJ.html",Historia,1076110,Experiencia 642 Potencializar la oferta de valor de pagos - Parametrizar las plantillas de la contingencia de pagos,1,18/02/2025 21:40,04/03/2025 13:48
1157477,Capa de Integración V2,software,Verificación de actualización de plantilla Transmisión de pagos enviada,"*Dado:* que se ingrese a Latinia.

*Cuando:* se actualice las plantillas Transmisión de pagos enviada

*Entonces:* se debe enviar los email con la infomración del pago enviado desde la web de contigencia el cual incluye fechas, hora, empresa , cuenta, cantidad de transacciones y monto total.",Criterio de aceptación,1157476,LATINIA - Actualización plantilla Transmisión de pagos enviada,,18/02/2025 21:39,04/03/2025 13:47
1157476,Capa de Integración V2,software,LATINIA - Actualización plantilla Transmisión de pagos enviada,"*Yo Como* Cliente empresarial

*Quiero* que me envÃ­en un correo a mi usuario delegado  (plantilla Transmisión de pagos enviada)

*Para* tener la infomración del pago enviado desde la web de contigencia el cual incluye fechas, hora, empresa , cuenta, cantidad de transacciones y monto total.

Detalles adicionales: Historia con la que se cargó la primer versión, [[MANG-15612] LATINIA - Cargue plantilla Transmisión de pagos enviada - JIRA|https://bancodebogota.atlassian.net/browse/MANG-15612]

Insumos Correo: 

{color:#36b37e}*Información e Insumo de Solución:*{color}

*Se carga en ambiente QA*

Grupo:                               Contingencia Pagos
Nombre:                            Transmision de pagos enviada
Referencia:		          transmision_pagos
Nombre de archivo:           correo4_detalle.html",Historia,1076110,Experiencia 642 Potencializar la oferta de valor de pagos - Parametrizar las plantillas de la contingencia de pagos,1,18/02/2025 21:38,04/03/2025 13:49
1157475,Capa de Integración V2,software,Verificación de actualización de plantilla Instrucciones de Acceso,"*Dado:* que se ingrese a Latinia.

*Cuando:* se actualice las plantillas Instrucciones de Acceso

*Entonces:* se debe enviar los email indicando como acceder a la web de contingencia, cuando se active la web de contingencia del producto de pagos.",Criterio de aceptación,1157474,LATINIA - Actualización plantilla Instrucciones de Acceso,,18/02/2025 21:37,04/03/2025 13:46
